                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.1523,                 1.5954,                 1.2491,                0.65973,                0.52659,                0.59759,                0.44127,                 1.0976,                 1.1366,                 1.1371,               8.33e-06,               8.33e-06,               8.33e-06
                      2,                 1.1411,                 1.3706,                 1.2173,                0.68186,                0.54613,                0.62098,                0.45908,                 1.0818,                   1.09,                 1.1248,             1.7673e-05,             1.7673e-05,             1.7673e-05
                      3,                  1.144,                 1.2882,                 1.2227,                0.68562,                 0.5566,                0.64114,                0.47555,                   1.07,                  1.061,                  1.116,             2.6828e-05,             2.6828e-05,             2.6828e-05
                      4,                   1.15,                 1.3185,                 1.2236,                0.70683,                0.57463,                0.65551,                0.49196,                 1.0552,                 1.0372,                  1.107,             3.5794e-05,             3.5794e-05,             3.5794e-05
                      5,                 1.1663,                 1.2288,                 1.1941,                0.71011,                0.59882,                0.67075,                 0.5037,                 1.0392,                 1.0116,                 1.0971,             4.4572e-05,             4.4572e-05,             4.4572e-05
                      6,                 1.1349,                 1.1661,                 1.1873,                0.71437,                0.61607,                0.68403,                0.51135,                 1.0389,                 0.9926,                 1.0976,             5.3161e-05,             5.3161e-05,             5.3161e-05
                      7,                 1.0741,                 1.1575,                 1.1631,                0.73576,                0.63924,                0.70117,                0.52305,                  1.037,                0.97999,                 1.0929,             6.1562e-05,             6.1562e-05,             6.1562e-05
                      8,                 1.1306,                 1.1541,                 1.1879,                0.74138,                0.63623,                0.71261,                0.53451,                 1.0343,                0.94871,                 1.0874,             6.9775e-05,             6.9775e-05,             6.9775e-05
                      9,                 1.0883,                 1.1542,                 1.1684,                0.75295,                0.65851,                0.72556,                0.53985,                 1.0292,                0.91932,                 1.0832,             7.7798e-05,             7.7798e-05,             7.7798e-05
                     10,                 1.1187,                  1.153,                 1.1835,                0.74632,                0.66447,                0.73498,                0.55051,                 1.0244,                0.89662,                 1.0827,             8.5634e-05,             8.5634e-05,             8.5634e-05
                     11,                 1.0857,                 1.1007,                 1.1763,                0.73409,                0.67159,                0.72862,                0.54554,                 1.0107,                 0.8776,                 1.0749,             9.3281e-05,             9.3281e-05,             9.3281e-05
                     12,                 1.1322,                 1.1461,                 1.1986,                0.74828,                0.68129,                0.74589,                0.55633,                0.99788,                0.86314,                 1.0669,             0.00010074,             0.00010074,             0.00010074
