                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.2147,                 3.6099,                 1.3893,                0.00354,                0.91667,                0.16592,                0.09818,                0.97531,                  3.537,                 1.1955,             0.00025722,             0.00025722,             0.00025722
                      2,                 1.1617,                 2.7557,                 1.3048,                0.00393,                0.97024,                0.45151,                0.30488,                0.99247,                 3.2557,                 1.1862,              0.0005235,              0.0005235,              0.0005235
                      3,                 1.1174,                 2.2935,                  1.243,                0.00353,                0.90873,                0.36246,                0.24095,                 1.1496,                 3.5225,                 1.3269,              0.0007844,              0.0007844,              0.0007844
                      4,                 1.1843,                 2.2536,                  1.275,                0.46399,                0.27274,                0.32422,                0.19137,                 1.5298,                 3.2677,                 1.6738,              0.0010399,              0.0010399,              0.0010399
                      5,                 1.1954,                 2.1326,                 1.2605,                0.41532,                0.29892,                0.31831,                0.18359,                 1.7151,                 3.1853,                 1.6344,              0.0012901,              0.0012901,              0.0012901
                      6,                 1.1814,                 2.1098,                 1.3274,                0.47449,                0.34318,                0.35886,                0.21522,                 1.6237,                 3.2763,                 1.6766,              0.0013583,              0.0013583,              0.0013583
                      7,                 1.2111,                 2.1008,                 1.3233,                0.48138,                0.38396,                0.32603,                0.22257,                 1.3045,                  4.391,                 1.5941,              0.0013583,              0.0013583,              0.0013583
                      8,                 1.2362,                 2.0229,                  1.333,                 0.4601,                0.46315,                0.37835,                0.25998,                 1.2738,                 2.7997,                 1.5465,              0.0013441,              0.0013441,              0.0013441
                      9,                 1.1416,                 1.9175,                 1.2874,                0.54624,                0.54018,                0.46575,                0.31465,                 1.1219,                 3.1737,                 1.3611,                0.00133,                0.00133,                0.00133
                     10,                 1.1355,                  1.749,                 1.2359,                 0.4586,                0.56023,                0.47293,                0.30919,                 1.1444,                  2.895,                 1.3867,              0.0013158,              0.0013158,              0.0013158
                     11,                 1.1881,                 1.7484,                 1.3146,                0.64464,                0.56151,                0.57512,                0.38934,                  1.258,                 2.2694,                 1.4939,              0.0013017,              0.0013017,              0.0013017
                     12,                 1.1477,                 1.6614,                 1.2565,                  0.467,                0.71032,                 0.5931,                0.41806,                 1.0332,                 2.0095,                 1.3188,              0.0012875,              0.0012875,              0.0012875
                     13,                 1.1035,                 1.5244,                 1.2187,                  0.715,                0.59059,                0.66669,                0.49321,                 1.0447,                 2.1732,                 1.3195,              0.0012734,              0.0012734,              0.0012734
                     14,                 1.1177,                 1.5825,                 1.2623,                0.60498,                 0.2996,                0.37171,                0.24742,                 1.3447,                 2.5391,                 1.5415,              0.0012592,              0.0012592,              0.0012592
                     15,                 1.0498,                 1.4593,                 1.1998,                0.54699,                0.71696,                0.65017,                 0.4483,                 1.1339,                 3.4783,                 1.4537,              0.0012451,              0.0012451,              0.0012451
                     16,                 1.0737,                 1.3882,                 1.2159,                0.87777,                0.73488,                 0.8284,                0.60692,                 1.0146,                 1.6509,                 1.2647,              0.0012309,              0.0012309,              0.0012309
                     17,                 1.0453,                 1.3988,                 1.2063,                0.83688,                0.59744,                0.76183,                 0.5334,                 1.0946,                 1.4832,                 1.3463,              0.0012168,              0.0012168,              0.0012168
                     18,                 1.0697,                 1.3436,                 1.1891,                0.74299,                0.72532,                0.81562,                0.56474,                 1.0756,                 1.5332,                 1.3389,              0.0012026,              0.0012026,              0.0012026
                     19,                 1.0035,                 1.2742,                 1.1844,                0.83997,                0.63994,                0.81619,                0.53104,                 1.1286,                 1.4645,                  1.367,              0.0011885,              0.0011885,              0.0011885
                     20,                 1.0059,                 1.2354,                 1.1727,                0.71467,                0.85281,                0.84336,                0.63694,                0.97569,                 1.3092,                 1.2142,              0.0011744,              0.0011744,              0.0011744
                     21,                 1.0362,                 1.2261,                 1.1888,                 0.7679,                0.67802,                0.75938,                0.55937,                 1.0192,                  1.493,                 1.3078,              0.0011602,              0.0011602,              0.0011602
